epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.9483,0.67626,0.77686,1,0.58386,0.00021671,0.00021671,0.00021671
2,62.2575,0.57905,0.80165,1,0.46779,0.000443724,0.000443724,0.000443724
3,91.752,0.51582,0.86777,1,0.33176,0.000664138,0.000664138,0.000664138
4,121.463,0.37424,0.91736,1,0.22691,0.000877949,0.000877949,0.000877949
5,150.912,0.36945,0.94215,1,0.17275,0.00108516,0.00108516,0.00108516
6,180.72,0.30022,0.92562,1,0.22809,0.00128577,0.00128577,0.00128577
7,210.187,0.21217,0.99174,1,0.06403,0.00147978,0.00147978,0.00147978
8,239.678,0.14258,0.97521,1,0.05513,0.00150197,0.00150197,0.00150197
9,269.374,0.15406,0.99174,1,0.03709,0.00147839,0.00147839,0.00147839
10,298.922,0.15893,0.99174,1,0.02281,0.00145481,0.00145481,0.00145481
11,328.624,0.14091,1,1,0.01813,0.00143124,0.00143124,0.00143124
12,358.205,0.16394,1,1,0.01732,0.00140766,0.00140766,0.00140766
13,387.779,0.11876,0.98347,1,0.03311,0.00138409,0.00138409,0.00138409
14,417.449,0.08745,0.97521,1,0.03032,0.00136051,0.00136051,0.00136051
15,446.889,0.08932,0.99174,1,0.01972,0.00133693,0.00133693,0.00133693
16,476.674,0.06873,0.99174,1,0.02511,0.00131336,0.00131336,0.00131336
17,506.134,0.08627,0.99174,1,0.01306,0.00128978,0.00128978,0.00128978
18,535.657,0.16863,1,1,0.00643,0.00126621,0.00126621,0.00126621
19,565.3,0.08221,0.99174,1,0.00839,0.00124263,0.00124263,0.00124263
20,594.773,0.1096,1,1,0.00624,0.00121905,0.00121905,0.00121905
21,624.231,0.13235,0.98347,1,0.02371,0.00119548,0.00119548,0.00119548
22,653.95,0.126,1,1,0.0127,0.0011719,0.0011719,0.0011719
23,683.686,0.12616,1,1,0.01404,0.00114832,0.00114832,0.00114832
24,713.497,0.08129,0.99174,1,0.0178,0.00112475,0.00112475,0.00112475
25,743.188,0.12335,0.99174,1,0.01106,0.00110117,0.00110117,0.00110117
26,772.997,0.10817,1,1,0.00219,0.0010776,0.0010776,0.0010776
27,802.672,0.08143,1,1,0.00171,0.00105402,0.00105402,0.00105402
28,832.531,0.07185,1,1,0.00381,0.00103044,0.00103044,0.00103044
29,862.096,0.11644,1,1,0.00363,0.00100687,0.00100687,0.00100687
30,892.026,0.14692,1,1,0.00168,0.000983292,0.000983292,0.000983292
31,921.754,0.0799,1,1,0.00153,0.000959716,0.000959716,0.000959716
32,951.467,0.07237,1,1,0.00134,0.00093614,0.00093614,0.00093614
33,981.031,0.05102,1,1,0.00167,0.000912563,0.000912563,0.000912563
34,1010.61,0.06164,1,1,0.00339,0.000888987,0.000888987,0.000888987
35,1040.05,0.05445,1,1,0.00552,0.000865411,0.000865411,0.000865411
36,1069.81,0.0433,1,1,0.00355,0.000841835,0.000841835,0.000841835
37,1099.47,0.06577,1,1,0.00536,0.000818259,0.000818259,0.000818259
38,1129.33,0.03153,1,1,0.00311,0.000794683,0.000794683,0.000794683
39,1158.96,0.03135,1,1,0.00374,0.000771107,0.000771107,0.000771107
40,1188.72,0.06064,0.99174,1,0.00945,0.00074753,0.00074753,0.00074753
41,1218.31,0.05058,1,1,0.0053,0.000723954,0.000723954,0.000723954
42,1247.98,0.09419,0.99174,1,0.01118,0.000700378,0.000700378,0.000700378
43,1277.33,0.03425,0.99174,1,0.00956,0.000676802,0.000676802,0.000676802
44,1306.78,0.05957,0.99174,1,0.00764,0.000653226,0.000653226,0.000653226
45,1336.39,0.06369,0.99174,1,0.0062,0.00062965,0.00062965,0.00062965
46,1365.93,0.04634,1,1,0.00051,0.000606074,0.000606074,0.000606074
47,1395.52,0.05746,1,1,0.00027,0.000582497,0.000582497,0.000582497
48,1425.19,0.05957,1,1,0.00024,0.000558921,0.000558921,0.000558921
49,1454.94,0.02437,1,1,0.00026,0.000535345,0.000535345,0.000535345
50,1484.61,0.03921,1,1,0.00021,0.000511769,0.000511769,0.000511769
51,1514.32,0.06563,1,1,0.0002,0.000488193,0.000488193,0.000488193
52,1543.86,0.05003,1,1,0.00014,0.000464617,0.000464617,0.000464617
53,1573.5,0.04615,1,1,0.00015,0.000441041,0.000441041,0.000441041
54,1603.04,0.05279,1,1,0.00016,0.000417464,0.000417464,0.000417464
55,1632.41,0.04389,1,1,0.00021,0.000393888,0.000393888,0.000393888
56,1661.9,0.02473,1,1,0.00018,0.000370312,0.000370312,0.000370312
57,1691.38,0.03753,1,1,0.00021,0.000346736,0.000346736,0.000346736
58,1721.22,0.02607,1,1,0.00019,0.00032316,0.00032316,0.00032316
59,1750.78,0.04325,1,1,0.00019,0.000299584,0.000299584,0.000299584
60,1780.65,0.03807,1,1,0.00012,0.000276008,0.000276008,0.000276008
61,1810.3,0.0479,1,1,0.00013,0.000252431,0.000252431,0.000252431
62,1839.99,0.03507,1,1,0.00013,0.000228855,0.000228855,0.000228855
63,1869.56,0.02875,1,1,9e-05,0.000205279,0.000205279,0.000205279
64,1899.36,0.05413,1,1,7e-05,0.000181703,0.000181703,0.000181703
65,1928.9,0.03071,1,1,7e-05,0.000158127,0.000158127,0.000158127
66,1958.66,0.0218,1,1,7e-05,0.000134551,0.000134551,0.000134551
67,1988.32,0.02584,1,1,7e-05,0.000110975,0.000110975,0.000110975
68,2018,0.01842,1,1,8e-05,8.73984e-05,8.73984e-05,8.73984e-05
69,2047.79,0.03655,1,1,8e-05,6.38223e-05,6.38223e-05,6.38223e-05
70,2077.4,0.02074,1,1,6e-05,4.02461e-05,4.02461e-05,4.02461e-05
